num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; A-B; 5/2/2021; 6:50:12; 0; 600; 0; 0; 0; 0; 1011.06; 23.50; 23.39; 18.28
2; ABC; 5/2/2021; 7:2:58; 757; 600; 5375; 108157; 5852; 198; 1011.06; 23.50; 23.39; 18.28
3; ABC; 5/2/2021; 7:12:58; 1357; 600; 5170; 101120; 5836; 188; 1010.99; 25.13; 22.42; 18.82
4; ABC; 5/2/2021; 7:22:59; 1958; 600; 5158; 100189; 5880; 163; 1010.99; 25.13; 22.42; 18.82
5; ABC; 5/2/2021; 7:33:0; 2558; 600; 5486; 99397; 5725; 185; 1010.74; 24.87; 22.29; 20.92
6; ABC; 5/2/2021; 7:42:59; 3158; 600; 5375; 98480; 5929; 199; 1010.61; 24.58; 22.47; 22.02
7; ABC; 5/2/2021; 7:52:59; 3758; 600; 5435; 98790; 5892; 172; 1010.61; 24.58; 22.47; 22.02
8; ABC; 5/2/2021; 8:2:59; 4358; 600; 5475; 98690; 5784; 174; 1010.59; 24.36; 22.59; 22.18
9; ABC; 5/2/2021; 8:13:0; 4958; 600; 5438; 99277; 5830; 156; 1010.59; 24.36; 22.59; 22.18
10; ABC; 5/2/2021; 8:23:1; 5559; 600; 5487; 99894; 5873; 185; 1010.65; 24.21; 22.74; 21.69
11; ABC; 5/2/2021; 8:33:0; 6159; 600; 5488; 99324; 5795; 197; 1010.38; 24.18; 23.14; 23.94
12; ABC; 5/2/2021; 8:43:0; 6759; 600; 5600; 97429; 5934; 208; 1010.38; 24.18; 23.14; 23.94
13; ABC; 5/2/2021; 8:53:0; 7359; 600; 5384; 97539; 5715; 182; 1010.17; 24.26; 23.98; 25.71
14; ABC; 5/2/2021; 9:3:1; 7959; 600; 5440; 97101; 5741; 196; 1010.17; 24.26; 23.98; 25.71
15; ABC; 5/2/2021; 9:13:1; 8559; 600; 5357; 96601; 5708; 171; 1009.86; 24.32; 25.79; 28.25
16; ABC; 5/2/2021; 9:23:0; 9159; 600; 5573; 96072; 5851; 174; 1009.66; 24.40; 26.58; 29.92
17; ABC; 5/2/2021; 9:33:0; 9759; 600; 5529; 95878; 5889; 179; 1009.66; 24.40; 26.58; 29.92
18; ABC; 5/2/2021; 9:43:0; 10359; 600; 5553; 96225; 5972; 183; 1009.77; 24.29; 26.61; 29.03
19; ABC; 5/2/2021; 9:53:1; 10959; 600; 5458; 96362; 5895; 201; 1009.77; 24.29; 26.61; 29.03
20; ABC; 5/2/2021; 10:3:1; 11559; 600; 5477; 97580; 5956; 174; 1009.89; 24.13; 26.31; 28.05
21; ABC; 5/2/2021; 10:13:0; 12159; 600; 5545; 97870; 6028; 193; 1009.89; 24.00; 25.95; 27.97
22; ABC; 5/2/2021; 10:23:0; 12759; 600; 5585; 98398; 5956; 193; 1009.89; 24.00; 25.95; 27.97
23; ABC; 5/2/2021; 10:33:1; 13359; 600; 5669; 98905; 5783; 180; 1010.09; 23.94; 25.65; 26.32
24; ABC; 5/2/2021; 10:43:2; 13960; 600; 5536; 99173; 5925; 206; 1010.09; 23.94; 25.65; 26.32
25; ABC; 5/2/2021; 10:53:2; 14560; 600; 5628; 98891; 6013; 168; 1010.15; 23.93; 25.46; 25.85
26; ABC; 5/2/2021; 11:3:1; 15160; 600; 5574; 99064; 5986; 180; 1010.15; 23.93; 25.46; 25.85
27; ABC; 5/2/2021; 11:13:1; 15760; 600; 5822; 99171; 5995; 203; 1010.35; 23.92; 25.33; 24.17
28; ABC; 5/2/2021; 11:23:2; 16360; 600; 5591; 99884; 5963; 201; 1010.09; 23.90; 25.25; 26.36
29; ABC; 5/2/2021; 11:33:3; 16961; 600; 5612; 99175; 6005; 177; 1010.09; 23.90; 25.25; 26.36
30; ABC; 5/2/2021; 11:43:3; 17561; 600; 5572; 98815; 5841; 172; 1010.12; 23.88; 25.25; 26.11
31; ABC; 5/2/2021; 11:53:3; 18161; 600; 5572; 99421; 5905; 174; 1010.12; 23.88; 25.25; 26.11
32; ABC; 5/2/2021; 12:3:2; 18761; 600; 5582; 99995; 6038; 182; 1010.28; 23.86; 25.27; 24.78
33; ABC; 5/2/2021; 12:13:3; 19361; 600; 5678; 100380; 5950; 204; 1010.23; 23.87; 25.26; 25.19
34; ABC; 5/2/2021; 12:23:4; 19962; 600; 5675; 99595; 6087; 183; 1010.23; 23.87; 25.26; 25.19
35; ABC; 5/2/2021; 12:33:4; 20562; 600; 5496; 99394; 5906; 180; 1010.30; 23.86; 25.42; 24.56
36; ABC; 5/2/2021; 12:43:4; 21162; 600; 5585; 99497; 5867; 186; 1010.30; 23.86; 25.42; 24.56
37; ABC; 5/2/2021; 12:53:3; 21762; 600; 5686; 99172; 6052; 174; 1010.27; 23.91; 25.33; 24.88
38; ABC; 5/2/2021; 13:3:4; 22362; 600; 5467; 98708; 5777; 170; 1010.39; 23.91; 25.43; 23.81
39; ABC; 5/2/2021; 13:13:4; 22962; 600; 5737; 98633; 5902; 201; 1010.39; 23.91; 25.43; 23.81
40; ABC; 5/2/2021; 13:23:4; 23562; 600; 5580; 98861; 5997; 173; 1010.27; 23.89; 25.46; 24.86
41; ABC; 5/2/2021; 13:33:4; 24162; 600; 5582; 99302; 5923; 188; 1010.27; 23.89; 25.46; 24.86
42; ABC; 5/2/2021; 13:43:4; 24762; 600; 5601; 98765; 5970; 188; 1010.15; 23.87; 25.50; 25.88
43; ABC; 5/2/2021; 13:53:5; 25363; 600; 5713; 99230; 6035; 204; 1010.04; 23.84; 25.55; 26.72
44; ABC; 5/2/2021; 14:3:5; 25963; 600; 5539; 100173; 6028; 163; 1010.04; 23.84; 25.55; 26.72
45; ABC; 5/2/2021; 14:13:5; 26563; 600; 5723; 100025; 6024; 187; 1010.08; 23.85; 25.53; 26.43
46; ABC; 5/2/2021; 14:23:5; 27163; 600; 5667; 99452; 5996; 160; 1010.08; 23.85; 25.53; 26.43
47; ABC; 5/2/2021; 14:33:6; 27764; 600; 5757; 99477; 6022; 180; 1009.99; 23.81; 25.52; 27.14
48; ABC; 5/2/2021; 14:43:6; 28364; 600; 5654; 99914; 6106; 177; 1010.02; 23.82; 25.47; 26.95
49; ABC; 5/2/2021; 14:53:6; 28964; 600; 5659; 99955; 5995; 169; 1010.02; 23.82; 25.47; 26.95
50; ABC; 5/2/2021; 15:3:6; 29564; 600; 5656; 100123; 5964; 190; 1009.83; 23.79; 25.44; 28.52
51; ABC; 5/2/2021; 15:13:6; 30164; 600; 5536; 100267; 5971; 196; 1009.83; 23.79; 25.44; 28.52
